feature_16,feature_23,feature_21,feature_3,feature_8,feature_28,feature_27,feature_13,feature_14,feature_1,feature_4,feature_18,target
0.05057,159.8,25.28,130.7,0.0974,0.2507,0.8489,4.115,92.81,19.73,1206.0,0.01971,1
0.01503,130.9,19.85,113.0,0.08353,0.1857,0.3378,2.193,33.63,17.3,928.2,0.01262,1
0.018,163.1,25.7,126.5,0.08591,0.1999,0.4317,3.797,71.0,19.45,1169.0,0.01267,1
0.02679,108.1,16.39,91.43,0.05246,0.1374,0.3209,2.563,35.74,13.96,602.4,0.01342,1
0.04765,178.6,25.05,133.6,0.1144,0.1941,0.4251,7.158,106.4,19.55,1207.0,0.01519,1
0.04588,119.8,17.73,103.2,0.1242,0.2229,0.4429,4.061,59.46,15.32,713.3,0.02127,1
0.05995,143.7,19.85,110.2,0.1377,0.2462,0.6181,10.12,138.5,15.66,773.5,0.03024,1
0.02556,126.3,18.49,103.7,0.08399,0.2014,0.5703,1.903,23.02,15.53,744.9,0.01022,1
0.01578,162.3,24.33,132.9,0.09333,0.1697,0.3788,2.587,52.34,20.31,1288.0,0.008185,1
0.01106,128.2,19.85,111.0,0.02837,0.08235,0.1211,2.577,44.41,17.35,933.1,0.007671,1
0.05981,137.9,20.39,114.4,0.07507,0.1528,0.2298,6.146,90.94,17.29,947.8,0.02149,1
0.009105,115.9,17.91,100.0,0.02847,0.08568,0.226,1.534,22.18,15.61,758.6,0.005174,1
0.01206,140.5,21.58,111.6,0.06527,0.1984,0.3889,2.819,45.42,17.19,928.3,0.009875,1
0.01478,214.0,32.49,135.7,0.08646,0.1659,0.3442,7.749,199.7,20.73,1419.0,0.00928,1
0.03581,78.28,11.88,69.28,0.02642,0.07926,0.1916,3.43,27.1,10.6,346.4,0.01365,0
0.02406,97.66,14.8,87.16,0.02142,0.06189,0.1453,2.591,26.76,13.59,561.0,0.009919,0
0.02178,89.27,13.9,82.38,0.01615,0.0578,0.1992,1.546,18.24,12.87,512.2,0.00633,0
0.04785,76.51,11.69,69.5,0.02867,0.086,0.2534,2.23,20.74,10.71,344.9,0.01745,0
0.00371,94.44,14.91,90.3,0.00625,0.03333,0.03866,0.8439,10.77,14.29,632.6,0.003608,0
0.01122,78.27,12.32,72.23,0.02755,0.0875,0.1275,1.164,13.17,11.29,388.0,0.008849,0
0.0496,195.9,28.19,147.3,0.1088,0.1841,0.5807,8.867,156.8,21.75,1491.0,0.01561,1
0.01067,68.09,10.75,61.5,0.01407,0.05159,0.04043,1.75,16.39,9.742,289.9,0.009472,0
0.01169,135.1,20.92,115.2,0.04744,0.1136,0.208,2.765,45.81,17.93,998.9,0.008522,1
0.01489,79.46,12.4,76.2,0.07404,0.08946,0.07153,4.021,48.84,11.89,435.6,0.0191,0
0.008998,77.37,12.2,71.79,0.003333,0.01111,0.004955,1.565,17.09,11.33,396.6,0.003333,0
0.01114,129.0,19.96,120.9,0.05843,0.1294,0.221,2.363,36.74,18.81,1102.0,0.01463,1
0.005274,98.91,15.5,86.24,0.01238,0.05185,0.106,1.683,22.22,13.59,572.3,0.005044,0
0.01541,98.37,14.98,88.99,0.03711,0.09993,0.1456,1.83,19.41,13.85,587.4,0.01043,0
0.02449,159.8,23.72,126.2,0.09664,0.1872,0.5754,4.321,69.65,19.16,1138.0,0.01293,1
0.01442,84.7,13.31,74.24,0.02763,0.0829,0.06735,3.717,37.83,11.74,427.3,0.01846,0
0.02199,152.4,23.79,127.2,0.09464,0.2252,0.4316,2.903,53.16,19.4,1145.0,0.01499,1
0.03481,126.9,18.55,108.8,0.09052,0.1732,0.5026,2.464,28.09,16.24,805.1,0.01209,1
0.03961,92.12,13.9,84.08,0.0339,0.1017,0.3344,2.347,23.29,12.89,516.6,0.01774,0
0.008008,85.56,13.5,79.83,0.002924,0.008772,0.005579,1.721,22.45,12.58,489.0,0.002924,0
0.05156,92.2,13.24,77.87,0.03791,0.1155,0.2365,3.198,21.91,11.94,441.0,0.01633,0
0.01345,87.4,13.62,81.89,0.01171,0.05366,0.1186,1.115,12.68,12.89,515.9,0.005905,0
0.08262,78.27,11.86,73.72,0.05588,0.09314,0.1546,2.877,34.68,11.26,394.1,0.03487,0
0.01395,79.29,12.36,72.17,0.02173,0.06203,0.07529,1.954,17.49,11.37,396.0,0.009924,0
0.1064,101.7,15.77,96.03,0.06602,0.1021,0.222,4.36,77.11,14.41,651.0,0.02771,0
0.02115,109.1,16.25,97.03,0.04819,0.1489,0.1804,2.171,24.87,14.96,687.3,0.01187,0
0.02003,88.81,13.74,83.14,0.0337,0.1056,0.2241,1.231,17.67,12.95,513.7,0.01132,0
0.015,84.35,13.06,75.54,0.0228,0.0914,0.1316,1.234,13.88,11.85,432.7,0.008578,0
0.0118,88.54,13.5,81.78,0.01924,0.06343,0.05233,1.34,13.38,12.72,492.1,0.007978,0
0.008153,94.17,14.67,88.06,0.01917,0.05802,0.03732,1.479,17.74,13.77,582.7,0.006829,0
0.01221,72.42,11.37,69.14,0.01369,0.03194,0.02884,1.267,11.09,10.91,363.7,0.009393,0
0.01005,85.1,13.36,75.0,0.03515,0.0716,0.0612,4.138,49.11,11.76,431.1,0.01432,1
0.01377,105.8,16.22,91.22,0.01374,0.0753,0.1565,1.661,20.56,14.26,633.1,0.005243,0
0.01443,70.1,10.93,66.85,0.01875,0.03125,0.04158,2.289,20.56,10.51,334.2,0.0125,0
0.03203,171.1,25.93,129.5,0.1062,0.198,0.6121,7.237,133.0,19.53,1217.0,0.01733,1
0.03369,88.13,13.46,80.43,0.03099,0.07625,0.1904,2.579,28.32,12.46,471.3,0.01403,0
0.04732,158.8,23.68,134.7,0.128,0.1923,0.4932,7.804,130.8,20.09,1247.0,0.01936,1
0.009362,70.76,11.06,66.86,0.0178,0.06528,0.08423,1.035,10.08,10.49,334.3,0.009199,0
0.02652,82.69,12.68,73.59,0.01502,0.05509,0.1226,2.475,22.93,11.46,403.1,0.007807,0
0.02337,81.39,12.44,74.23,0.01313,0.04815,0.07239,1.961,18.21,11.6,417.2,0.006998,0
0.007861,92.0,14.41,84.07,0.003261,0.025,0.0112,1.204,15.5,13.2,537.3,0.002386,0
0.004883,60.9,9.699,56.36,0.003472,0.01389,0.01472,1.144,9.789,9.0,246.3,0.003472,0
0.003746,95.48,14.97,85.69,0.004419,0.0221,0.01379,1.509,20.39,13.5,566.2,0.003242,0
0.004711,93.96,14.73,82.71,0.008829,0.03532,0.01824,2.567,33.01,13.05,530.6,0.004821,0
0.00911,80.92,12.61,74.33,0.01148,0.05741,0.07915,1.109,11.28,11.7,418.7,0.007638,0
0.006021,103.7,16.46,92.68,0.01877,0.05813,0.04746,1.954,28.9,14.61,664.9,0.006324,0
0.02768,92.04,14.19,82.29,0.02548,0.08411,0.1769,2.346,25.18,12.76,504.1,0.01069,0
0.0134,81.23,12.34,73.73,0.008907,0.04715,0.08324,1.107,9.438,11.54,409.1,0.004667,0
0.01403,56.65,8.952,54.09,0.0,0.0,0.0,2.222,17.81,8.597,221.2,0.0,0
0.003012,84.48,13.34,79.19,0.006423,0.02784,0.01938,1.047,12.69,12.49,481.6,0.00339,0
0.005767,81.6,12.85,77.25,0.005051,0.01852,0.04116,1.438,15.82,12.18,461.4,0.005051,0
0.01659,140.9,21.84,118.7,0.0795,0.1776,0.3853,2.547,48.9,18.22,1027.0,0.01143,1
0.0659,68.62,10.06,60.07,0.04908,0.1145,0.4609,3.769,24.2,9.042,244.5,0.02527,0
0.01079,81.76,12.9,78.6,0.01699,0.02832,0.02237,2.487,31.16,12.43,477.3,0.0112,0
0.04265,71.53,11.28,66.52,0.03965,0.09744,0.1898,1.597,22.68,10.25,324.2,0.01544,0
0.01376,150.2,23.06,131.1,0.07726,0.1425,0.2606,3.868,74.85,20.16,1274.0,0.01247,1
0.02016,92.8,14.04,82.82,0.034,0.1155,0.1791,1.614,16.57,12.86,504.8,0.01011,0
0.02431,171.1,25.3,135.9,0.1504,0.2685,0.5344,4.012,69.06,20.34,1264.0,0.01369,1
0.01418,91.11,13.75,78.01,0.01692,0.05556,0.1167,1.959,19.01,12.2,457.9,0.005142,0
0.009514,88.7,13.71,81.25,0.02107,0.05602,0.102,1.566,17.61,12.67,489.9,0.006474,0
0.01132,98.4,15.53,90.03,0.02733,0.0589,0.05307,1.558,23.92,14.11,616.5,0.006627,0
0.006887,82.74,13.07,76.09,0.005592,0.02796,0.007732,1.466,16.97,12.03,446.0,0.003951,0
0.02083,129.8,19.28,106.9,0.08488,0.1583,0.3597,3.27,44.41,16.27,813.7,0.01392,1
0.03756,113.7,17.73,107.5,0.07981,0.1047,0.3344,2.961,57.72,16.26,826.8,0.01186,1
0.03245,124.3,18.76,105.8,0.07041,0.1981,0.4956,2.629,33.27,16.03,793.2,0.01459,1
0.03255,99.21,14.42,84.52,0.0295,0.09858,0.3439,2.465,20.65,12.98,514.0,0.009811,0
0.01104,76.91,11.98,71.94,0.007583,0.02022,0.01335,1.959,19.62,11.22,387.3,0.004967,0
0.007124,82.08,12.76,71.38,0.002941,0.01667,0.005518,1.529,15.07,11.25,390.0,0.002941,0
0.008432,84.53,13.35,77.88,0.008535,0.03983,0.03619,1.199,13.24,12.3,464.4,0.006522,0
0.01797,143.2,20.99,111.8,0.09934,0.1827,0.392,6.076,87.17,17.06,918.6,0.01744,1
0.02305,87.38,13.72,84.08,0.02098,0.0585,0.145,0.9219,14.41,12.99,514.3,0.007315,0
0.03897,161.1,24.54,122.9,0.0609,0.2048,0.4634,4.369,88.25,18.77,1092.0,0.01816,1
0.01449,71.98,11.16,64.41,0.01775,0.06499,0.1055,1.778,16.85,10.05,310.8,0.008043,0
0.01971,202.4,30.67,155.1,0.141,0.2089,0.4819,6.462,164.1,23.51,1747.0,0.01301,1
0.03053,111.4,16.67,94.15,0.04223,0.1414,0.3755,2.677,32.14,14.42,641.2,0.01243,0
0.03471,71.25,10.75,61.64,0.02292,0.0812,0.4341,1.429,12.07,9.606,280.5,0.00851,0
0.01877,79.76,11.92,71.49,0.03341,0.1075,0.2299,1.355,10.8,11.06,373.9,0.0101,0
0.03368,157.6,22.75,129.9,0.1103,0.2255,0.4734,5.173,67.66,19.68,1194.0,0.01806,1
0.01097,84.16,13.06,75.03,0.0325,0.07864,0.1087,2.355,24.53,11.71,420.3,0.01121,0
0.04671,70.89,10.88,66.2,0.02037,0.04074,0.07162,2.394,19.33,10.26,321.6,0.01296,0
0.01096,86.54,13.64,76.66,0.008488,0.05093,0.04506,1.559,18.02,12.06,445.3,0.005495,0
0.01506,114.2,17.27,94.87,0.03528,0.1251,0.2151,2.537,29.06,14.76,668.7,0.01067,0
0.008548,79.67,12.51,73.02,0.02322,0.06548,0.09823,1.09,12.25,11.47,402.7,0.006315,0
0.02417,83.09,12.81,77.23,0.01787,0.04766,0.03122,2.455,26.65,11.95,426.7,0.01052,0
0.006991,83.61,13.28,73.7,0.01162,0.04262,0.03046,2.225,26.03,11.66,421.0,0.006296,0
0.06559,119.4,17.36,107.1,0.1242,0.2135,0.6872,3.477,51.22,15.75,758.6,0.02283,1
0.04243,229.3,33.13,174.2,0.1913,0.2756,0.6451,7.222,153.1,25.73,2010.0,0.01508,1
0.02431,121.2,18.51,98.0,0.06553,0.1526,0.4029,4.174,63.37,15.08,716.6,0.01746,1
0.03387,79.62,12.12,71.24,0.01471,0.03922,0.1201,3.33,28.84,11.14,384.6,0.01471,0
0.04235,89.02,13.37,81.92,0.04391,0.09265,0.2388,3.212,27.49,12.56,485.8,0.01966,0
0.03932,94.22,14.19,85.09,0.05603,0.1258,0.2573,2.59,21.57,13.05,512.0,0.01876,0
0.007939,96.74,15.11,88.52,0.02088,0.05556,0.05285,1.737,20.74,13.87,593.7,0.006042,0
0.02899,65.27,9.981,56.74,0.02381,0.04762,0.09441,4.277,30.18,8.878,241.0,0.01506,0
0.008982,75.79,12.02,59.82,0.01406,0.05052,0.1144,3.267,30.48,9.436,278.6,0.006565,0
0.004693,86.82,13.72,79.42,0.005449,0.01635,0.003581,2.329,28.3,12.54,491.9,0.003617,0
0.02045,92.94,14.2,85.24,0.02424,0.05614,0.1212,2.028,20.98,13.3,546.1,0.006399,0
0.01646,87.82,13.75,81.87,0.01781,0.08312,0.1255,1.535,17.26,12.76,496.6,0.009997,0
0.01805,117.2,18.13,106.6,0.04835,0.09123,0.1663,2.344,33.58,16.5,838.1,0.01033,0
0.0125,93.76,14.73,85.48,0.01473,0.06987,0.1364,1.036,13.22,13.4,552.4,0.005484,0
0.01906,161.2,24.31,133.8,0.07785,0.1765,0.2702,4.218,72.44,20.44,1293.0,0.01461,1
0.04674,160.0,24.19,133.7,0.1265,0.2152,0.3703,7.128,103.6,20.2,1234.0,0.02536,1
0.01388,93.85,14.29,78.31,0.02027,0.08829,0.2413,1.874,18.57,12.21,458.4,0.007087,0
0.01112,199.5,30.75,140.9,0.08465,0.182,0.2861,7.733,224.1,21.71,1546.0,0.01197,1
0.02821,195.0,27.66,147.2,0.1501,0.2432,0.4756,7.561,130.2,22.01,1482.0,0.01471,1
0.03917,129.3,19.38,109.0,0.08773,0.2248,0.7087,2.972,45.5,16.35,840.4,0.01656,1
0.01485,104.5,16.2,97.65,0.02657,0.08178,0.1362,1.338,17.72,15.19,711.8,0.009155,0
0.02675,152.1,22.69,141.3,0.1255,0.1966,0.4024,2.407,39.06,21.37,1386.0,0.01343,1
0.01895,166.8,25.37,134.8,0.08941,0.2112,0.4159,4.119,77.02,20.64,1335.0,0.01232,1
0.01587,99.16,14.84,87.84,0.02031,0.06987,0.1346,1.372,14.0,13.69,579.1,0.006335,0
0.01812,113.1,16.97,106.3,0.05397,0.1251,0.2114,1.349,14.91,16.17,788.5,0.01196,0
0.07643,76.51,10.85,70.15,0.05941,0.1465,0.603,2.363,7.228,10.57,338.3,0.02919,0
0.01203,97.11,14.69,85.89,0.01117,0.05781,0.07934,1.4,14.91,13.46,562.1,0.005179,0
0.02984,97.96,14.54,88.27,0.02471,0.1054,0.2569,1.101,11.35,13.66,580.6,0.008356,0
0.04549,91.76,13.24,73.3,0.06367,0.2524,0.8402,1.719,13.99,11.08,361.6,0.01339,1
0.01777,84.93,12.84,73.16,0.0555,0.1318,0.2247,1.809,16.04,11.27,386.3,0.01164,0
0.01903,79.73,12.09,70.67,0.02074,0.06754,0.1553,1.281,11.68,11.04,372.7,0.00696,0
0.0456,87.36,12.57,78.75,0.02978,0.1092,0.2912,1.778,9.549,12.05,447.8,0.01667,0
0.03705,95.23,14.18,80.64,0.0288,0.09804,0.3206,2.117,19.2,12.39,462.9,0.01051,0
0.02073,96.59,14.24,85.79,0.02864,0.09173,0.2866,1.592,15.26,13.28,541.8,0.008468,0
0.01742,102.2,15.79,93.97,0.05271,0.1359,0.2675,2.914,33.01,14.6,664.7,0.01576,1
0.03026,87.65,13.13,78.78,0.02534,0.0914,0.3076,2.097,19.96,12.21,462.0,0.01087,0
0.01415,99.66,15.51,88.37,0.008507,0.04537,0.1091,1.709,23.12,13.88,596.6,0.007016,0
0.06669,79.73,12.04,73.38,0.02757,0.08272,0.3021,2.569,22.97,11.27,392.0,0.02047,0
0.04097,142.0,20.82,128.9,0.1021,0.1825,0.3829,5.383,70.1,19.55,1174.0,0.03441,1
0.01365,73.23,11.38,65.75,0.01968,0.06696,0.08615,1.348,11.88,10.26,321.6,0.006929,0
0.01966,64.01,10.17,55.27,0.0,0.0,0.0,3.167,28.85,8.734,234.3,0.0,0
0.02928,142.1,21.2,102.4,0.09113,0.2121,0.5553,4.675,66.91,15.49,744.7,0.01639,1
0.03726,172.0,26.23,144.4,0.1562,0.2422,0.7053,4.158,80.99,21.61,1407.0,0.01288,1
0.01631,88.33,13.56,78.07,0.03326,0.06266,0.1603,1.869,22.22,12.1,446.2,0.007513,0
0.01273,96.42,14.92,89.75,0.03251,0.07911,0.0846,1.237,12.67,14.06,609.1,0.009155,0
0.01957,97.33,14.8,88.1,0.05381,0.1453,0.3438,1.513,19.29,13.51,558.1,0.01367,0
0.03477,90.72,13.74,83.05,0.04083,0.08296,0.1901,2.668,30.57,12.8,508.3,0.01384,0
0.01469,80.79,12.68,70.31,0.007246,0.05556,0.2079,1.263,12.98,11.06,378.2,0.004168,0
0.01964,86.0,13.45,75.26,0.01638,0.05356,0.1449,2.225,25.06,11.8,431.9,0.005398,0
0.03718,149.6,20.8,124.4,0.1198,0.1964,0.9034,3.123,41.51,17.91,994.0,0.01051,1
0.01204,87.64,13.8,76.14,0.01796,0.06876,0.1514,1.649,18.95,11.93,442.7,0.005832,0
0.03713,96.31,14.13,84.18,0.01883,0.06608,0.1604,2.397,20.21,12.96,525.2,0.01065,0
0.01285,89.69,13.86,83.18,0.0239,0.08388,0.181,0.9975,11.36,12.94,507.6,0.007308,0
0.008491,84.11,13.18,78.29,0.02054,0.04793,0.04921,2.602,30.15,12.34,469.1,0.0103,0
0.02134,82.76,12.4,70.39,0.02932,0.07887,0.1412,3.018,25.78,10.94,370.0,0.01155,0
0.01246,115.9,17.71,104.3,0.04528,0.1129,0.231,1.729,21.83,16.14,800.0,0.008747,0
0.0448,91.63,14.4,82.63,0.01867,0.05601,0.1838,2.552,41.24,12.85,514.5,0.01341,0
0.02772,138.1,21.08,117.8,0.08824,0.1974,0.3301,3.061,49.81,17.99,991.7,0.0148,1
0.0231,89.0,14.1,78.41,0.02653,0.09532,0.1377,2.079,25.79,12.27,466.1,0.01075,0
0.009947,85.07,13.05,72.49,0.021,0.08698,0.1811,1.359,13.66,11.36,399.8,0.005872,0
0.009355,79.93,12.41,70.92,0.0248,0.07431,0.1067,1.342,13.54,11.04,373.2,0.007483,0
0.02674,66.61,9.965,59.75,0.005128,0.02564,0.1868,1.174,6.802,9.397,268.8,0.005128,0
0.02808,110.2,16.76,97.53,0.03876,0.1308,0.3114,2.31,28.51,14.99,693.7,0.01196,0
0.01427,110.1,17.26,96.71,0.02739,0.06575,0.1547,3.043,45.38,15.13,719.5,0.009087,1
0.03053,85.09,13.05,76.39,0.02179,0.08263,0.1164,1.93,19.53,11.89,433.8,0.009276,0
0.01674,68.73,10.85,59.6,0.01257,0.0377,0.06141,2.759,25.17,9.405,271.2,0.008674,0
0.03889,157.1,23.17,102.9,0.08481,0.2134,0.4211,9.424,176.5,15.5,803.1,0.02139,1
0.01263,88.12,13.65,80.88,0.02402,0.08224,0.09385,1.527,17.37,12.7,495.0,0.008231,0
0.009442,79.26,12.36,70.95,0.01076,0.04306,0.03582,1.968,18.99,11.16,380.3,0.006159,0
0.02047,86.43,13.07,74.2,0.01428,0.06664,0.256,2.206,20.3,11.57,409.7,0.008799,0
0.05244,114.1,16.46,98.22,0.063,0.1108,0.3219,4.795,49.45,14.69,656.1,0.0158,0
0.02005,81.93,12.64,75.46,0.04497,0.1105,0.2302,1.667,15.89,11.61,408.2,0.01304,0
0.02809,101.4,15.14,89.46,0.04812,0.1407,0.366,1.804,19.36,13.66,575.3,0.01274,0
0.01885,71.79,11.21,61.93,0.01967,0.04589,0.02085,4.607,43.52,9.742,289.7,0.01052,0
0.005697,69.92,11.11,63.19,0.005159,0.02579,0.01235,1.184,11.6,10.03,307.3,0.003527,0
0.03867,81.41,12.13,67.49,0.02218,0.0931,0.2939,2.564,20.77,10.48,333.6,0.01264,0
0.02148,83.69,12.76,68.79,0.01404,0.07485,0.1927,2.24,20.2,10.8,359.9,0.01045,0
0.006263,74.35,11.68,70.47,0.0137,0.04044,0.0458,0.968,9.704,11.13,381.1,0.006189,0
0.01174,88.87,13.82,80.98,0.01835,0.03612,0.03469,2.109,23.24,12.72,501.3,0.005623,0
0.06213,125.4,16.35,102.1,0.09711,0.2475,0.9019,3.466,24.19,14.9,685.0,0.02234,1
0.03295,89.61,12.88,81.47,0.02799,0.0737,0.2403,2.204,15.43,12.4,467.8,0.01167,0
0.02715,146.0,22.03,133.8,0.1259,0.2173,0.5308,3.008,52.49,20.18,1250.0,0.0191,1
0.04088,145.3,22.66,123.7,0.08744,0.1708,0.3912,4.493,103.9,18.82,1110.0,0.01834,1
0.01665,102.3,16.31,94.89,0.02877,0.07971,0.122,1.612,23.92,14.86,673.7,0.008281,0
0.01791,113.9,17.04,91.12,0.06463,0.1827,0.4069,1.602,18.85,13.98,599.5,0.009567,1
0.01362,95.14,14.45,82.67,0.0209,0.06384,0.07127,2.597,26.5,12.87,509.2,0.006502,0
0.01295,101.2,15.66,89.78,0.02944,0.07453,0.1117,2.644,32.74,14.04,611.2,0.009046,0
0.01095,100.9,15.63,88.68,0.02293,0.0589,0.04753,2.331,29.63,13.85,592.6,0.007039,0
0.009238,96.53,14.91,89.59,0.02652,0.08216,0.0626,1.606,19.25,14.02,606.5,0.01076,0
0.04638,90.14,12.36,71.73,0.03613,0.1555,0.4779,2.806,18.15,10.97,371.5,0.01768,0
0.04308,132.8,20.38,112.4,0.05736,0.1739,0.5036,3.283,58.38,17.27,928.8,0.01742,1
0.01156,97.9,15.27,88.37,0.009937,0.03312,0.03517,2.235,29.34,13.78,585.9,0.005657,0
0.01331,69.35,10.94,66.82,0.01111,0.02222,0.03986,1.277,13.12,10.57,340.9,0.01111,0
0.0156,133.3,20.38,117.5,0.06254,0.1535,0.429,1.921,35.77,18.03,990.0,0.009753,1
0.02025,84.48,12.98,77.61,0.04274,0.1202,0.1609,1.865,19.39,11.99,441.3,0.01665,0
0.02015,145.4,21.53,117.3,0.08293,0.197,0.6399,2.873,43.95,17.75,981.6,0.0111,1
0.01171,105.9,16.43,95.88,0.0226,0.08308,0.206,1.482,19.75,14.8,674.8,0.006897,0
0.02048,108.1,16.3,94.25,0.02925,0.09594,0.3779,1.994,23.04,14.53,659.7,0.008848,0
0.02075,168.2,25.68,138.1,0.1155,0.228,0.4399,4.542,81.89,21.1,1384.0,0.01466,1
0.06063,83.51,12.79,76.83,0.02386,0.0875,0.3218,1.955,20.24,11.87,432.0,0.01553,0
0.01929,139.8,21.44,127.7,0.09063,0.1466,0.3977,2.916,56.18,19.59,1191.0,0.01499,1
0.02589,85.07,13.09,76.77,0.01945,0.07116,0.1811,1.516,13.86,12.0,442.5,0.009166,0
0.01251,103.1,15.8,93.86,0.06495,0.1069,0.1373,2.143,25.7,14.53,644.2,0.01136,0
0.008539,91.62,14.34,80.62,0.02272,0.09851,0.1887,1.116,13.32,12.62,492.9,0.006888,0
0.01246,96.69,15.05,86.34,0.03264,0.07763,0.07003,2.287,28.93,13.38,557.2,0.009128,0
0.02418,86.04,13.12,74.87,0.02017,0.06835,0.2923,2.15,23.13,11.63,415.1,0.009215,0
0.008082,91.29,14.35,84.1,0.02068,0.06005,0.139,1.314,17.58,13.21,537.9,0.006451,0
0.008974,91.06,14.34,82.61,0.01762,0.05921,0.04462,1.657,21.19,13.0,520.2,0.006336,0
0.0127,68.03,10.67,61.68,0.01043,0.04866,0.0719,1.243,11.28,9.755,290.9,0.006104,0
0.02219,152.1,22.96,111.2,0.06431,0.1555,0.2639,6.051,115.2,17.08,930.9,0.01458,1
0.05374,251.2,36.04,186.9,0.1689,0.2625,0.6833,18.65,542.2,27.42,2501.0,0.02598,1
0.01679,100.4,15.4,92.25,0.01737,0.05563,0.1472,1.727,20.52,14.4,646.1,0.00637,0
0.01701,82.68,12.77,73.88,0.01777,0.08288,0.186,1.303,12.89,11.6,412.7,0.007497,0
0.01493,95.1,14.9,84.28,0.0287,0.1045,0.1876,1.236,16.89,13.17,537.3,0.008463,0
0.06657,115.0,15.44,86.87,0.02833,0.1357,0.6556,3.369,23.81,13.24,542.9,0.01368,0
0.03179,100.9,14.8,85.98,0.0351,0.1181,0.4504,2.312,27.4,13.14,536.9,0.01254,0
0.01257,71.11,11.15,61.06,0.005769,0.025,0.06409,2.275,20.98,9.668,286.3,0.003934,0
0.07025,143.6,21.57,119.0,0.1002,0.1996,0.5165,5.801,104.9,17.6,980.5,0.02311,1
0.03206,88.14,13.36,76.38,0.05564,0.1416,0.3186,3.027,27.85,11.62,408.8,0.01841,0
0.01989,70.88,11.14,61.49,0.01514,0.0656,0.1277,2.569,22.73,9.667,289.1,0.009883,0
0.01555,87.24,13.6,76.85,0.02377,0.05547,0.05524,4.099,44.96,12.04,449.9,0.01183,0
0.0177,112.0,17.18,96.45,0.03221,0.1147,0.3151,1.826,23.31,14.92,686.9,0.008399,0
0.008243,85.08,13.45,77.42,0.0,0.0,0.0,2.884,35.13,12.27,465.4,0.0,0
0.03093,80.78,11.94,70.41,0.01571,0.07966,0.3365,1.301,9.597,10.88,358.9,0.006691,0
0.01796,93.22,14.09,82.89,0.03078,0.09783,0.3476,1.195,11.64,12.83,506.9,0.00836,0
0.03288,112.1,16.45,92.41,0.03058,0.1339,0.2512,2.749,31.01,14.2,618.4,0.0135,0
0.01315,101.2,15.14,88.97,0.01339,0.06222,0.1384,1.392,14.03,13.9,599.4,0.004832,0
0.02114,82.04,12.4,73.99,0.01969,0.07431,0.2596,1.567,14.34,11.49,404.9,0.008038,0
0.0547,122.1,17.39,109.8,0.09194,0.1775,0.5897,3.07,33.12,16.25,815.8,0.02215,1
0.01666,88.83,13.34,78.29,0.01527,0.0569,0.162,1.678,16.26,12.16,455.3,0.005161,0
0.01082,104.4,16.41,88.73,0.0207,0.0815,0.1673,2.056,28.41,13.9,602.9,0.006275,0
0.01452,94.94,14.83,87.32,0.05266,0.1335,0.1848,1.102,12.84,13.47,546.3,0.008791,0
0.008186,95.78,14.96,87.76,0.0316,0.09077,0.1742,1.564,20.64,13.7,571.1,0.009233,0
0.0182,112.5,17.01,102.8,0.06211,0.1452,0.4004,1.143,13.87,15.73,747.2,0.01067,0
0.07471,97.82,13.78,82.85,0.04846,0.1342,0.4896,5.004,30.19,12.45,476.7,0.02721,0
0.01393,106.0,16.46,94.21,0.02791,0.07828,0.2437,1.471,19.98,14.64,666.0,0.006144,0
0.02833,153.9,23.96,128.1,0.1194,0.206,0.5936,3.631,67.74,19.44,1167.0,0.01176,1
0.01292,86.57,13.32,75.49,0.03132,0.09815,0.149,2.554,27.57,11.68,420.5,0.01167,0
0.01446,127.3,19.18,107.1,0.02307,0.08737,0.2477,1.775,22.95,16.69,857.6,0.005297,1
0.01205,92.74,14.17,78.18,0.01261,0.06335,0.123,1.577,18.04,12.25,466.5,0.004551,0
0.008274,127.1,19.82,114.6,0.04178,0.08341,0.1048,3.163,50.95,17.85,992.1,0.007437,0
0.027,143.4,21.53,118.4,0.07762,0.1489,0.2544,5.353,89.74,18.01,1007.0,0.01648,1
0.01003,83.24,13.19,78.83,0.01149,0.0268,0.01674,2.108,24.6,12.46,477.3,0.007895,0
0.02052,95.29,14.5,84.06,0.01256,0.04195,0.07698,2.326,26.07,13.16,538.7,0.005564,0
0.01371,103.9,16.01,96.12,0.04951,0.1017,0.17,1.596,21.84,14.87,680.9,0.01183,0
0.02502,95.29,14.38,82.69,0.05074,0.1407,0.3582,1.696,18.4,12.65,485.6,0.01032,0
0.01371,92.82,14.06,80.45,0.02369,0.1053,0.2028,1.253,11.91,12.47,480.1,0.007096,0
0.03214,146.4,22.75,121.3,0.09183,0.1663,0.3533,4.851,95.77,18.49,1068.0,0.01573,1
0.02791,163.2,23.86,137.8,0.1121,0.2113,0.5179,4.206,75.09,20.59,1320.0,0.01479,1
0.01819,109.7,16.76,98.73,0.06142,0.1018,0.1856,2.304,34.84,15.04,689.4,0.01004,0
0.03856,106.0,16.01,92.33,0.06759,0.1521,0.3381,2.974,39.05,13.82,595.9,0.01616,1
0.01567,86.67,13.57,81.25,0.03279,0.08411,0.1889,1.566,18.49,12.54,476.3,0.01161,0
0.03356,211.5,30.79,152.1,0.1003,0.2264,0.3794,9.635,180.2,23.09,1682.0,0.02156,1
0.04542,69.05,10.28,61.49,0.05252,0.1025,0.2099,3.014,20.04,9.268,248.7,0.02188,0
